V1	Pool number	Sample ID	Barcode Number	SampleID	sampleID	cohort	ID	brain_region	mouse_ID	fastq_names	plate	brain_region_long	age	sex
378	BA24	CA1_hy_13	28	CA1_hy_13	BulkSeq_hy_13	CA1	CA1_hy_13	hy	13	BA24_CA1_hy_13_1	P26	Hypothalamus	12	Female
389	BA25	CA1_hy_37	15	CA1_hy_37	BulkSeq_hy_37	CA1	CA1_hy_37	hy	37	BA25_CA1_hy_37_1	P27	Hypothalamus	3	Female
390	BA25	CA1_hy_38	16	CA1_hy_38	BulkSeq_hy_38	CA1	CA1_hy_38	hy	38	BA25_CA1_hy_38_1	P27	Hypothalamus	15	Female
391	BA25	CA1_hi_4	25	CA1_hi_4	BulkSeq_hi_4	CA1	CA1_hi_4	hi	4	BA25_CA1_hi_4_1	P27	Hippocampus (anterior)	12	Female
394	BA25	CA1_hi_7	28	CA1_hi_7	BulkSeq_hi_7	CA1	CA1_hi_7	hi	7	BA25_CA1_hi_7_1	P27	Hippocampus (anterior)	12	Female
397	BA25	CA1_hi_10	31	CA1_hi_10	BulkSeq_hi_10	CA1	CA1_hi_10	hi	10	BA25_CA1_hi_10_1	P27	Hippocampus (anterior)	12	Female
401	BA26	CA1_hy_41	3	CA1_hy_41	BulkSeq_hy_41	CA1	CA1_hy_41	hy	41	BA26_CA1_hy_41_1	P27	Hypothalamus	3	Female
402	BA26	CA1_hy_42	4	CA1_hy_42	BulkSeq_hy_42	CA1	CA1_hy_42	hy	42	BA26_CA1_hy_42_1	P27	Hypothalamus	15	Female
405	BA26	CA1_hy_45	15	CA1_hy_45	BulkSeq_hy_45	CA1	CA1_hy_45	hy	45	BA26_CA1_hy_45_1	P27	Hypothalamus	3	Female
406	BA26	CA1_hy_46	16	CA1_hy_46	BulkSeq_hy_46	CA1	CA1_hy_46	hy	46	BA26_CA1_hy_46_1	P27	Hypothalamus	15	Female
408	BA26	CA1_hi_13	26	CA1_hi_13	BulkSeq_hi_13	CA1	CA1_hi_13	hi	13	BA26_CA1_hi_13_1	P27	Hippocampus (anterior)	12	Female
417	BA27	CA1_hy_49	3	CA1_hy_49	BulkSeq_hy_49	CA1	CA1_hy_49	hy	49	BA27_CA1_hy_49_1	P27	Hypothalamus	3	Female
418	BA27	CA1_hy_50	4	CA1_hy_50	BulkSeq_hy_50	CA1	CA1_hy_50	hy	50	BA27_CA1_hy_50_1	P27	Hypothalamus	15	Female
421	BA27	CA1_hy_53	15	CA1_hy_53	BulkSeq_hy_53	CA1	CA1_hy_53	hy	53	BA27_CA1_hy_53_1	P27	Hypothalamus	3	Female
422	BA27	CA1_hy_54	16	CA1_hy_54	BulkSeq_hy_54	CA1	CA1_hy_54	hy	54	BA27_CA1_hy_54_1	P27	Hypothalamus	15	Female
